Column Name,Data Type,Description,Business Relevance,
invoice_no,VARCHAR(50),Unique invoice number for each transaction,Used to track sales transactions and identify duplicates,
customer_id,VARCHAR(50),Unique identifier assigned to each customer,Helps analyze customer behavior and repeat purchases,
gender,VARCHAR(50),Gender of the customer (standardized to MALE/FEMALE),Useful for demographic and customer segmentation analysis,
age,INT,Age of the customer,Helps understand age-wise purchasing patterns,
category,VARCHAR(50),Product category purchased,Used to analyze category-wise sales performance,
quantity,INT,Number of units purchased in a transaction,Important for sales volume and inventory insights,
price,"NUMERIC(10,2)",Price per unit of the product,Used to calculate revenue and pricing analysis,
payment_method,VARCHAR(50),Mode of payment used by the customer,Helps understand customer payment preferences,
invoice_date,DATE,Date when the transaction occurred,Used for time-based trend analysis and reporting,
shopping_mall,VARCHAR(50),Name of the shopping mall where purchase was made,Useful for location-wise sales analysis,
total_amount,"NUMERIC(10,2)",Total transaction amount (price × quantity),Key metric for revenue calculation,
